target_index,ik_ok,peak_sample_idx,point_drift,range_3d_est_m,range_horiz_est_m,sensor_angle_deg,sensor_x,sensor_y,sensor_z,stationarity_ok,target_x_true,target_y_true,vantage_index,waveform_tag
9,True,34.0,0.018021754281538238,0.6521500932576147,0.6238052404325625,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,True,1.2,-0.15,1,t09_v1
9,True,35.0,0.013005956199184633,0.6693546219250311,0.6417084855915348,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.2,-0.15,2,t09_v2
9,True,36.0,0.08718835186387734,0.6865591505924477,0.659655343776265,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,False,1.2,-0.15,3,t09_v3
9,True,37.0,0.03237627927862558,0.703763679259864,0.6776298176237159,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,True,1.2,-0.15,4,t09_v4
10,True,34.0,0.011920997503696483,0.6521500932576147,0.6238477663802352,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.2,-0.075,0,t10_v0
10,True,34.0,0.05157042701564958,0.6521500932576147,0.6238052404325625,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,False,1.2,-0.075,1,t10_v1
10,True,34.0,0.016648313685510042,0.6521500932576147,0.6237418654569334,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.2,-0.075,2,t10_v2
10,True,35.0,0.09241487870482938,0.6693546219250311,0.6417299394626688,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,False,1.2,-0.075,3,t10_v3
10,True,36.0,0.01762888285716098,0.6865591505924477,0.6597441327890631,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,True,1.2,-0.075,4,t10_v4
11,True,35.0,0.03748602141059298,0.6693546219250311,0.6418114219722911,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.2,0.0,0,t11_v0
11,True,34.0,0.06866974243602189,0.6521500932576147,0.6238052404325625,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,False,1.2,0.0,1,t11_v1
11,True,34.0,0.09902005261144842,0.6521500932576147,0.6237418654569334,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,False,1.2,0.0,2,t11_v2
11,True,34.0,0.062743455564721,0.6521500932576147,0.6237639372761741,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,False,1.2,0.0,3,t11_v3
11,True,35.0,0.10111449065688706,0.6693546219250311,0.6418212082657997,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,False,1.2,0.0,4,t11_v4
12,True,36.0,0.024742312351446586,0.6865591505924477,0.6597346123585727,0.0157684078598945,0.599996926024218,-0.15006224467517634,0.6500360716240658,True,1.2,0.075,0,t12_v0
12,True,35.0,0.02752632509388083,0.6693546219250311,0.64177008636085,0.06183686549644409,0.5999973413369495,-0.07520637018598755,0.6501756192175764,True,1.2,0.075,1,t12_v1
12,True,34.0,0.009670893589877187,0.6521500932576147,0.6237418654569334,0.09174791530964964,0.5999997946343282,-0.00011364817998411109,0.6503833748314709,True,1.2,0.075,2,t12_v2
12,True,34.0,0.08717841201339524,0.6521500932576147,0.6237639372761741,0.07349160818859356,0.6000036213170103,0.07506928164335265,0.650311047208618,False,1.2,0.075,3,t12_v3
12,True,34.0,0.014838380582188759,0.6521500932576147,0.6238578344649406,0.01897555349775006,0.6000102046531763,0.15008513033238582,0.6500030171145457,True,1.2,0.075,4,t12_v4
