cell_id,block,target_distance_m,target_size_m,sensor_pitch_deg,clutter,sensor_pos_x_m,sensor_pos_y_m,sensor_pos_z_m,notes,snr_peak,snr_energy,peak_idx_with,early_energy_with,peak_idx_without,early_energy_without,peak_idx_noise,early_energy_noise,detectable
C_d0.15_z0.10_p60_ctable,C,0.15,0.1,60.0,table,0.0,0.0,0.65,block C,19.78985272349625,2.591677540039545,13.0,979.6196854580794,13.0,2038.705378131603,13.0,975.4005943233697,True
C_d0.3_z0.10_p0_ctable,C,0.3,0.1,0.0,table,0.0,0.0,0.65,block C,148.3563080179496,2.816874471834238,13.0,10525.627967590352,19.0,34.24187744792392,13.0,10506.207147780053,True
C_d0.3_z0.10_p30_ctable,C,0.3,0.1,30.0,table,0.0,0.0,0.65,block C,28.078964681339464,2.3754217246965674,13.0,1845.648000163333,15.0,314.6802446550435,13.0,1832.072362122996,True
C_d0.3_z0.10_p60_ctable,C,0.3,0.1,60.0,table,0.0,0.0,0.65,block C,7.468486381713512,1.4590728039964274,13.0,2175.927270562225,13.0,2038.7059500947043,13.0,2160.419734682003,False
C_d0.5_z0.10_p0_ctable,C,0.5,0.1,0.0,table,0.0,0.0,0.65,block C,94.57770313375386,2.1846844400705443,24.0,28.647526801717486,19.0,34.24187656335641,24.0,27.839800283911686,True
C_d0.5_z0.10_p30_ctable,C,0.5,0.1,30.0,table,0.0,0.0,0.65,block C,20.922490255179667,1.6653252632883329,24.0,322.33604276317675,15.0,314.68002865375763,24.0,321.8617043962076,True
C_d0.5_z0.10_p60_ctable,C,0.5,0.1,60.0,table,0.0,0.0,0.65,block C,1.286119384158172,1.0762924188124319,13.0,2048.933015782152,13.0,2038.7053935421595,13.0,2038.7750915625488,False
C_d0.8_z0.10_p0_ctable,C,0.8,0.1,0.0,table,0.0,0.0,0.65,block C,67.67129422246607,2.081916786213152,41.0,28.64463752836861,19.0,34.362214799047834,41.0,27.836837535616525,True
C_d0.8_z0.10_p30_ctable,C,0.8,0.1,30.0,table,0.0,0.0,0.65,block C,1.286119384158172,1.0762919571126688,16.0,278.26248978914225,16.0,271.11835937753193,16.0,279.94859871185764,False
C_d0.8_z0.10_p60_ctable,C,0.8,0.1,60.0,table,0.0,0.0,0.65,block C,1.286119384158172,1.076292256706522,13.0,2048.9328671868384,13.0,2038.7053239973447,13.0,2038.7743640175786,False
C_d1.2_z0.10_p0_ctable,C,1.2,0.1,0.0,table,0.0,0.0,0.65,block C,86.61533794197439,2.197607264523352,64.0,22.487172371782577,38.0,23.33754724904627,64.0,21.468642828755605,True
C_d1.2_z0.10_p30_ctable,C,1.2,0.1,30.0,table,0.0,0.0,0.65,block C,1.286119384158172,1.0762917053973273,30.0,22.487172371782577,30.0,23.33754724904627,30.0,21.468642828755605,False
C_d1.2_z0.10_p60_ctable,C,1.2,0.1,60.0,table,0.0,0.0,0.65,block C,1.286119384158172,1.076292001507386,14.0,1295.8951931610372,14.0,1285.122950130046,14.0,1289.5638597169382,False
